sku,product,group,role,filename,width,height,alt_text,status,production_url
RES-DIG-RESET,"7-Day Reset",DIGITAL,hero,RES-DIG-RESET-hero.webp,1600,2000,"ResoFit 7-Day Reset digital program cover with Nigerian meal plating — hero",UPLOAD REQUIRED,
RES-DIG-RESET,"7-Day Reset",DIGITAL,thumb,RES-DIG-RESET-thumb.webp,600,600,"ResoFit 7-Day Reset digital program cover with Nigerian meal plating — thumb",UPLOAD REQUIRED,
RES-DIG-RESET,"7-Day Reset",DIGITAL,gallery-1,RES-DIG-RESET-gallery-1.webp,1600,1600,"ResoFit 7-Day Reset digital program cover with Nigerian meal plating — gallery 1",UPLOAD REQUIRED,
RES-DIG-RESET,"7-Day Reset",DIGITAL,gallery-2,RES-DIG-RESET-gallery-2.webp,1600,1600,"ResoFit 7-Day Reset digital program cover with Nigerian meal plating — gallery 2",UPLOAD REQUIRED,
RES-DIG-RESET,"7-Day Reset",DIGITAL,gallery-3,RES-DIG-RESET-gallery-3.webp,1600,1600,"ResoFit 7-Day Reset digital program cover with Nigerian meal plating — gallery 3",UPLOAD REQUIRED,
RES-DIG-RESET,"7-Day Reset",DIGITAL,lifestyle,RES-DIG-RESET-lifestyle.webp,1920,1280,"ResoFit 7-Day Reset digital program cover with Nigerian meal plating — lifestyle",UPLOAD REQUIRED,
RES-DIG-RESET,"7-Day Reset",DIGITAL,detail,RES-DIG-RESET-detail.webp,1600,1600,"ResoFit 7-Day Reset digital program cover with Nigerian meal plating — detail",UPLOAD REQUIRED,
RES-DIG-RESET,"7-Day Reset",DIGITAL,seo,RES-DIG-RESET-seo.webp,1200,630,"ResoFit 7-Day Reset digital program cover with Nigerian meal plating — seo",UPLOAD REQUIRED,
RES-DIG-NUT,"Nigerian Nutrition Protocol",DIGITAL,hero,RES-DIG-NUT-hero.webp,1600,2000,"Nigerian Nutrition Protocol digital guide with jollof rice and grilled fish macro plating — hero",UPLOAD REQUIRED,
RES-DIG-NUT,"Nigerian Nutrition Protocol",DIGITAL,thumb,RES-DIG-NUT-thumb.webp,600,600,"Nigerian Nutrition Protocol digital guide with jollof rice and grilled fish macro plating — thumb",UPLOAD REQUIRED,
RES-DIG-NUT,"Nigerian Nutrition Protocol",DIGITAL,gallery-1,RES-DIG-NUT-gallery-1.webp,1600,1600,"Nigerian Nutrition Protocol digital guide with jollof rice and grilled fish macro plating — gallery 1",UPLOAD REQUIRED,
RES-DIG-NUT,"Nigerian Nutrition Protocol",DIGITAL,gallery-2,RES-DIG-NUT-gallery-2.webp,1600,1600,"Nigerian Nutrition Protocol digital guide with jollof rice and grilled fish macro plating — gallery 2",UPLOAD REQUIRED,
RES-DIG-NUT,"Nigerian Nutrition Protocol",DIGITAL,gallery-3,RES-DIG-NUT-gallery-3.webp,1600,1600,"Nigerian Nutrition Protocol digital guide with jollof rice and grilled fish macro plating — gallery 3",UPLOAD REQUIRED,
RES-DIG-NUT,"Nigerian Nutrition Protocol",DIGITAL,lifestyle,RES-DIG-NUT-lifestyle.webp,1920,1280,"Nigerian Nutrition Protocol digital guide with jollof rice and grilled fish macro plating — lifestyle",UPLOAD REQUIRED,
RES-DIG-NUT,"Nigerian Nutrition Protocol",DIGITAL,detail,RES-DIG-NUT-detail.webp,1600,1600,"Nigerian Nutrition Protocol digital guide with jollof rice and grilled fish macro plating — detail",UPLOAD REQUIRED,
RES-DIG-NUT,"Nigerian Nutrition Protocol",DIGITAL,seo,RES-DIG-NUT-seo.webp,1200,630,"Nigerian Nutrition Protocol digital guide with jollof rice and grilled fish macro plating — seo",UPLOAD REQUIRED,
RES-DIG-90D,"90-Day Metabolic Transformation",DIGITAL,hero,RES-DIG-90D-hero.webp,1600,2000,"ResoFit 90-Day Metabolic Transformation program cover with progressive training chart — hero",UPLOAD REQUIRED,
RES-DIG-90D,"90-Day Metabolic Transformation",DIGITAL,thumb,RES-DIG-90D-thumb.webp,600,600,"ResoFit 90-Day Metabolic Transformation program cover with progressive training chart — thumb",UPLOAD REQUIRED,
