collection_code,collection_name,type,parent_collection,description,hero_banner,thumbnail_image,seo_title,meta_description,open_graph_image,display_order,visibility,shopify_collection_id,chatb2k_priority,landing_page_slug
commercial-luxe,Commercial Luxe,curated,,Flagship commercial-grade equipment and premium command stacks.,,,Commercial Luxe — Premium Fitness Equipment | ResoFlex OS™,Commercial-grade Nigerian fitness equipment and premium coaching stacks.,,1,public,,60,commercial-luxe
home-gym-essentials,Home Gym Essentials,category,,Everything required to build a sovereign home training deck.,,,Home Gym Essentials | ResoFlex OS™,Compact high-output home gym equipment engineered for Nigerian homes.,,2,public,,55,home-gym-essentials
coach-buchi-signature,Coach Buchi Signature Collection,curated,,Programs personally architected by Coach Buchi.,,,Coach Buchi Signature Collection | ResoFlex OS™,Signature transformation programs designed by Coach Buchi.,,3,public,,85,coach-buchi-signature
best-sellers,Best Sellers,algorithmic,,Highest-converting protocols across the ladder.,,,Best Sellers | ResoFlex OS™,The most-purchased ResoFlex protocols.,,4,public,,70,best-sellers
mens-activewear,Men's Activewear,category,performance-activewear,Engineered men's training apparel.,,,Men's Activewear | ResoFlex OS™,Sweat-wicking men's training apparel XS to XXXL.,,5,public,,40,mens-activewear
womens-activewear,Women's Activewear,category,performance-activewear,Contoured women's performance sets.,,,Women's Activewear | ResoFlex OS™,Curve-sculpting women's activewear sets XS to XXXL.,,6,public,,45,womens-activewear
curvy-collection,Curvy Collection,category,womens-activewear,Plus-friendly contouring pieces XS through XXXL.,,,Curvy Collection | ResoFlex OS™,Plus-size friendly Nigerian fitness fashion.,,7,public,,50,curvy-collection
performance-activewear,Performance Activewear,category,,All ResoFlex performance apparel.,,,Performance Activewear | ResoFlex OS™,Four-way stretch performance apparel.,,8,public,,42,performance-activewear
combat-training,Combat Training,category,,Conditioning protocols for combat-style output.,,,Combat Training | ResoFlex OS™,High-output conditioning programs.,,9,public,,35,combat-training
gym-accessories,Gym Accessories,category,,Support gear shapers and training accessories.,,,Gym Accessories | ResoFlex OS™,Waist trainers and support gear.,,10,public,,30,gym-accessories
digital-programs,Digital Programs,digital,,Instantly delivered training and transformation systems.,,,Digital Programs | ResoFlex OS™,Instant-download Nigerian training programs.,,11,public,,75,digital-programs
meal-plans,Meal Plans,digital,,Nigerian-first macro architecture.,,,Nigerian Meal Plans | ResoFlex OS™,Macro-precise Nigerian meal plans.,,12,public,,90,meal-plans
memberships,Memberships,membership,,Recurring coaching and telemetry access.,,,Memberships | ResoFlex OS™,Ongoing coaching and concierge membership tiers.,,13,public,,65,memberships
vip-bundles,VIP Bundles,bundle,,Full-stack deployments at bundle economics.,,,VIP Bundles | ResoFlex OS™,Best-value ResoFlex bundles.,,14,public,,80,vip-bundles
corporate-wellness,Corporate Wellness,corporate,,Team and enterprise wellness deployments.,,,Corporate Wellness | ResoFlex OS™,Corporate wellness deployments for Nigerian teams.,,15,public,,25,corporate-wellness
chatb2k-recommended,ChatB2K Recommended,algorithmic,,Dynamically ranked by the ChatB2K personalization engine.,,,ChatB2K Recommended | ResoFlex OS™,AI-ranked product recommendations.,,16,public,,100,chatb2k-recommended
