variant_sku,parent_sku,size,color,price_ngn,stock_level,status
RESOFLEX_MENS_TANK-XS,RESOFLEX_MENS_TANK,XS,Charcoal,12000,25,active
RESOFLEX_MENS_TANK-S,RESOFLEX_MENS_TANK,S,Charcoal,12000,40,active
RESOFLEX_MENS_TANK-M,RESOFLEX_MENS_TANK,M,Charcoal,12000,60,active
RESOFLEX_MENS_TANK-L,RESOFLEX_MENS_TANK,L,Charcoal,12000,60,active
RESOFLEX_MENS_TANK-XL,RESOFLEX_MENS_TANK,XL,Charcoal,12000,45,active
RESOFLEX_MENS_TANK-XXL,RESOFLEX_MENS_TANK,XXL,Charcoal,12000,30,active
RESOFLEX_MENS_TANK-XXXL,RESOFLEX_MENS_TANK,XXXL,Charcoal,12000,20,active
RESOFLEX_LADIES_2PIECE-XS,RESOFLEX_LADIES_2PIECE,XS,Obsidian,22500,20,active
RESOFLEX_LADIES_2PIECE-S,RESOFLEX_LADIES_2PIECE,S,Obsidian,22500,35,active
RESOFLEX_LADIES_2PIECE-M,RESOFLEX_LADIES_2PIECE,M,Obsidian,22500,50,active
RESOFLEX_LADIES_2PIECE-L,RESOFLEX_LADIES_2PIECE,L,Obsidian,22500,50,active
RESOFLEX_LADIES_2PIECE-XL,RESOFLEX_LADIES_2PIECE,XL,Obsidian,22500,40,active
RESOFLEX_LADIES_2PIECE-XXL,RESOFLEX_LADIES_2PIECE,XXL,Obsidian,22500,25,active
RESOFLEX_LADIES_2PIECE-XXXL,RESOFLEX_LADIES_2PIECE,XXXL,Obsidian,22500,18,active
25_STEEL_BONED_LATEX_SHAPER-M,25_STEEL_BONED_LATEX_SHAPER,M,Black,35000,15,active
25_STEEL_BONED_LATEX_SHAPER-L,25_STEEL_BONED_LATEX_SHAPER,L,Black,35000,15,active
25_STEEL_BONED_LATEX_SHAPER-XL,25_STEEL_BONED_LATEX_SHAPER,XL,Black,35000,12,active
