product_sku,collection_code,position
RESOFLEX_STATION_GYM,commercial-luxe,0
RESOFLEX_COMMANDER,commercial-luxe,1
RESOFLEX_VIP_PREORDER,commercial-luxe,2
RESOFLEX_STATION_GYM,home-gym-essentials,0
RESOFLEX_MEAL_MOVE,home-gym-essentials,1
RESOFLEX_COMMANDER,coach-buchi-signature,0
RESOFLEX_KINETIC,coach-buchi-signature,1
BUTTGROWTHB2K,coach-buchi-signature,2
FITNESS_EVOLUTION,best-sellers,0
RESOFLEX_KINETIC,best-sellers,1
RESOFLEX_LADIES_2PIECE,best-sellers,2
25_STEEL_BONED_LATEX_SHAPER,best-sellers,3
RESOFLEX_MENS_TANK,mens-activewear,0
RESOFLEX_LADIES_2PIECE,womens-activewear,0
RESOFLEX_LADIES_2PIECE,curvy-collection,0
25_STEEL_BONED_LATEX_SHAPER,curvy-collection,1
RESOFLEX_MENS_TANK,performance-activewear,0
RESOFLEX_LADIES_2PIECE,performance-activewear,1
FITNESS_EVOLUTION,combat-training,0
RESOFLEX_MEAL_MOVE,combat-training,1
25_STEEL_BONED_LATEX_SHAPER,gym-accessories,0
FITNESS_EVOLUTION,digital-programs,0
RESOFLEX_KINETIC,digital-programs,1
BUTTGROWTHB2K,digital-programs,2
RESOFLEX_MEAL_MOVE,digital-programs,3
NAIJAFIT_7DAY_FREE,meal-plans,0
HERITAGE_MEAL,meal-plans,1
RESOFLEX_MEAL_MOVE,meal-plans,2
FITNESS_EVOLUTION,meal-plans,3
RESOFLEX_COMMANDER,memberships,0
RESOFLEX_VIP_PREORDER,memberships,1
RESOFLEX_ASCENSION_BUNDLE,vip-bundles,0
RESOFLEX_VIP_PREORDER,vip-bundles,1
RESOFLEX_ASCENSION_BUNDLE,corporate-wellness,0
RESOFLEX_STATION_GYM,corporate-wellness,1
HERITAGE_MEAL,corporate-wellness,2
